"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","I actually fuck with Museveni so heavily!!! #UGDebate16",FALSE,0,NA,2016-02-13 18:18:28,FALSE,NA,"698571959756591108",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Evanshustlegang",0,FALSE,FALSE,NA,NA
"2","RT @BOmugisha: Bwanika has so far made the best points.#UGDebate16",FALSE,0,NA,2016-02-13 18:18:28,FALSE,NA,"698571959081246720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yevan8",2,TRUE,FALSE,NA,NA
"3","RT @GabrielIguma: So Museveni and Amama are the two candidates that used their first 5 minutes well according to me. #UGDebate16 #UgandaDec…",FALSE,0,NA,2016-02-13 18:18:28,FALSE,NA,"698571958540247040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","M_Ray4",2,TRUE,FALSE,NA,NA
"4","RT @nbstv: Museveni: Other time I did not come because I was far away. I am here to talk about Uganda, not fiction #UGDebate16 https://t.co…",FALSE,0,NA,2016-02-13 18:18:28,FALSE,NA,"698571958334656512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JIrimaso",33,TRUE,FALSE,NA,NA
"5","#UGDebate16:  Elections to be held on Thursday next week #CitizenWeekend #FashionWatch",FALSE,1,NA,2016-02-13 18:18:28,FALSE,NA,"698571958166884352",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","citizentvkenya",0,FALSE,FALSE,NA,NA
"6","RT @ChimpReports: Opening remarks are done. Candidates now delving into the regional security issues. #UGDebate16",FALSE,0,NA,2016-02-13 18:18:28,FALSE,NA,"698571958116556800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KazibweKennyk19",1,TRUE,FALSE,NA,NA
"7","RT @UrbanTVUganda: #UGDebate16: ""I did not come last time b/c i was far away &amp; i had qn's about the method of the debate.""
- Museveni https…",FALSE,0,NA,2016-02-13 18:18:28,FALSE,NA,"698571957248401408",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","lynnsanny",16,TRUE,FALSE,NA,NA
"8","RT @Straightsouljah: The old man has finally given in to primary school debate but he wants more time #UGDebate16",FALSE,0,NA,2016-02-13 18:18:27,FALSE,NA,"698571956489232385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AtukundaM",3,TRUE,FALSE,NA,NA
"9","RT @thekerororist: Drinking game at Hunters bar, take a shot everytime Museveni says 1986. #UGDebate16",FALSE,0,NA,2016-02-13 18:18:27,FALSE,NA,"698571956468195328",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","LawdBaron",15,TRUE,FALSE,NA,NA
"10","Why does M7 always have to come last #UGDebate16",FALSE,0,NA,2016-02-13 18:18:27,FALSE,NA,"698571956094902272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AtukundaM",0,FALSE,FALSE,NA,NA
"11","RT @observerug: Museveni: I'm here to talk abt Uganda not abt fiction. If you want Nobel prizes or literature honors u may talk the way u w…",FALSE,0,NA,2016-02-13 18:18:27,FALSE,NA,"698571955994284032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CliveMwesigwa",17,TRUE,FALSE,NA,NA
"12","#UGDebate16 is going to be a mad roast after Sevo's statement",FALSE,0,NA,2016-02-13 18:18:27,FALSE,NA,"698571955809742848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Pojnificent",0,FALSE,FALSE,NA,NA
"13","Mabirizi can't handle this motion#UGDebate16",FALSE,0,NA,2016-02-13 18:18:27,FALSE,NA,"698571955809681409",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","hasib_hazard",0,FALSE,FALSE,NA,NA
"14","The theory of the round table #UGDebate16",FALSE,0,NA,2016-02-13 18:18:27,FALSE,NA,"698571953955848192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LeonardLubwama",0,FALSE,FALSE,NA,NA
"15","RT @AndrewMwenda: #UGDebate16 M7 has brought up the real issue. Candidates promise 2 do things as if ug has per capita spending of $20,000 …",FALSE,0,NA,2016-02-13 18:18:27,FALSE,NA,"698571953645490177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mynameisantwony",17,TRUE,FALSE,NA,NA
